,task,submission,n_rows,path,fold
0,03402,018518548,33,/Dataset/group22/processed/more_cpp_2/results/p03402_s018518548.opcstats,eval
1,02318,020186872,22,/Dataset/group22/processed/more_cpp_2/results/p02318_s020186872.opcstats,test
2,02972,021046738,21,/Dataset/group22/processed/more_cpp_2/results/p02972_s021046738.opcstats,train
3,02957,001649621,20,/Dataset/group22/processed/more_cpp_2/results/p02957_s001649621.opcstats,test
4,03494,032944794,13,/Dataset/group22/processed/more_cpp_2/results/p03494_s032944794.opcstats,test
5,03427,047348441,22,/Dataset/group22/processed/more_cpp_2/results/p03427_s047348441.opcstats,train
6,02651,009496931,53,/Dataset/group22/processed/more_cpp_2/results/p02651_s009496931.opcstats,train
7,02850,004956964,58,/Dataset/group22/processed/more_cpp_2/results/p02850_s004956964.opcstats,train
8,02761,042842117,21,/Dataset/group22/processed/more_cpp_2/results/p02761_s042842117.opcstats,eval
9,02866,001661233,19,/Dataset/group22/processed/more_cpp_2/results/p02866_s001661233.opcstats,test
10,02647,032702709,22,/Dataset/group22/processed/more_cpp_2/results/p02647_s032702709.opcstats,train
11,03421,049580397,20,/Dataset/group22/processed/more_cpp_2/results/p03421_s049580397.opcstats,train
12,02676,035734634,20,/Dataset/group22/processed/more_cpp_2/results/p02676_s035734634.opcstats,eval
13,03240,038026576,15,/Dataset/group22/processed/more_cpp_2/results/p03240_s038026576.opcstats,train
14,02790,050277292,23,/Dataset/group22/processed/more_cpp_2/results/p02790_s050277292.opcstats,train
15,03249,026348949,55,/Dataset/group22/processed/more_cpp_2/results/p03249_s026348949.opcstats,train
16,02409,049967281,14,/Dataset/group22/processed/more_cpp_2/results/p02409_s049967281.opcstats,train
17,02583,087585354,36,/Dataset/group22/processed/more_cpp_2/results/p02583_s087585354.opcstats,eval
18,02819,050967592,13,/Dataset/group22/processed/more_cpp_2/results/p02819_s050967592.opcstats,train
19,03095,035945799,32,/Dataset/group22/processed/more_cpp_2/results/p03095_s035945799.opcstats,train
20,02953,006673672,13,/Dataset/group22/processed/more_cpp_2/results/p02953_s006673672.opcstats,train
21,03146,040919827,22,/Dataset/group22/processed/more_cpp_2/results/p03146_s040919827.opcstats,train
22,03658,060761528,40,/Dataset/group22/processed/more_cpp_2/results/p03658_s060761528.opcstats,train
23,03343,055678779,56,/Dataset/group22/processed/more_cpp_2/results/p03343_s055678779.opcstats,eval
24,04034,027516587,34,/Dataset/group22/processed/more_cpp_2/results/p04034_s027516587.opcstats,train
25,02716,007828020,41,/Dataset/group22/processed/more_cpp_2/results/p02716_s007828020.opcstats,eval
26,03607,001124829,30,/Dataset/group22/processed/more_cpp_2/results/p03607_s001124829.opcstats,train
27,02317,003631287,20,/Dataset/group22/processed/more_cpp_2/results/p02317_s003631287.opcstats,train
28,03346,007865140,93,/Dataset/group22/processed/more_cpp_2/results/p03346_s007865140.opcstats,test
29,03103,035997361,40,/Dataset/group22/processed/more_cpp_2/results/p03103_s035997361.opcstats,train
30,02421,009356883,11,/Dataset/group22/processed/more_cpp_2/results/p02421_s009356883.opcstats,eval
31,00723,036350896,58,/Dataset/group22/processed/more_cpp_2/results/p00723_s036350896.opcstats,train
32,03206,018654046,38,/Dataset/group22/processed/more_cpp_2/results/p03206_s018654046.opcstats,test
33,02886,029531193,12,/Dataset/group22/processed/more_cpp_2/results/p02886_s029531193.opcstats,train
34,03329,003299966,27,/Dataset/group22/processed/more_cpp_2/results/p03329_s003299966.opcstats,eval
35,03703,041992314,62,/Dataset/group22/processed/more_cpp_2/results/p03703_s041992314.opcstats,train
36,02401,025150100,14,/Dataset/group22/processed/more_cpp_2/results/p02401_s025150100.opcstats,train
37,03054,004543743,32,/Dataset/group22/processed/more_cpp_2/results/p03054_s004543743.opcstats,train
38,03668,021117029,16,/Dataset/group22/processed/more_cpp_2/results/p03668_s021117029.opcstats,train
39,03391,063849598,14,/Dataset/group22/processed/more_cpp_2/results/p03391_s063849598.opcstats,train
